,Event,Description,Team,Tricode,Period,Time,Date,Lat,Lon,Home_Away_Team
3,Faceoff,Oskar Sundqvist faceoff won against Sean Kuraly,St. Louis Blues,STL,1,00:10,2019-05-28,0.0,0.0,Away
5,Faceoff,Sean Kuraly faceoff won against Oskar Sundqvist,Boston Bruins,BOS,1,00:28,2019-05-28,22.0,-20.0,Home
6,Shot,Charlie McAvoy Wrist Shot saved by Jordan Binnington,Boston Bruins,BOS,1,00:28,2019-05-28,-19.0,47.0,Home
8,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,BOS,1,00:35,2019-05-28,-22.0,69.0,Home
9,Shot,David Pastrnak Slap Shot saved by Jordan Binnington,Boston Bruins,BOS,1,00:35,2019-05-28,-5.0,47.0,Home
11,Faceoff,Ryan O'Reilly faceoff won against Brad Marchand,St. Louis Blues,STL,1,01:18,2019-05-28,-22.0,69.0,Away
12,Hit,Patrice Bergeron hit Brayden Schenn,Boston Bruins,BOS,1,01:30,2019-05-28,-35.0,16.0,Home
13,Missed Shot,Joel Edmundson - Wide of Net,St. Louis Blues,STL,1,01:35,2019-05-28,-26.0,-41.0,Away
14,Hit,David Perron hit Brandon Carlo,St. Louis Blues,STL,1,01:41,2019-05-28,-35.0,-89.0,Away
15,Hit,Sammy Blais hit Torey Krug,St. Louis Blues,STL,1,02:17,2019-05-28,37.0,-78.0,Away
16,Hit,David Perron hit Brandon Carlo,St. Louis Blues,STL,1,02:18,2019-05-28,-37.0,5.0,Away
17,Missed Shot,Jake DeBrusk - Wide of Net,Boston Bruins,BOS,1,02:45,2019-05-28,1.0,75.0,Home
18,Blocked Shot,Jake DeBrusk,Boston Bruins,BOS,1,03:33,2019-05-28,32.0,-36.0,Home
19,Shot,Colton Parayko Slap Shot saved by Tuukka Rask,St. Louis Blues,STL,1,03:37,2019-05-28,27.0,-38.0,Away
20,Missed Shot,Alex Pietrangelo - Wide of Net,St. Louis Blues,STL,1,03:37,2019-05-28,37.0,-32.0,Away
21,Penalty,Sean Kuraly Tripping against Brayden Schenn,Boston Bruins,BOS,1,03:50,2019-05-28,30.0,-49.0,Home
22,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,STL,1,04:36,2019-05-28,-22.0,-69.0,Away
23,Shot,Tyler Bozak Wrist Shot saved by Tuukka Rask,St. Louis Blues,STL,1,05:00,2019-05-28,18.0,-71.0,Away
24,Shot,Noel Acciari Wrist Shot saved by Jordan Binnington,Boston Bruins,BOS,1,05:04,2019-05-28,-18.0,58.0,Home
25,Giveaway,Giveaway by David Perron,St. Louis Blues,STL,1,05:08,2019-05-28,29.0,-58.0,Away
