,Event,Description,Team,Lat,Lon
3,Faceoff,Oskar Sundqvist faceoff won against Sean Kuraly,St. Louis Blues,0.0,0.0
5,Faceoff,Sean Kuraly faceoff won against Oskar Sundqvist,Boston Bruins,22.0,-20.0
6,Shot,Charlie McAvoy Wrist Shot saved by Jordan Binnington,Boston Bruins,-19.0,47.0
8,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,-22.0,69.0
9,Shot,David Pastrnak Slap Shot saved by Jordan Binnington,Boston Bruins,-5.0,47.0
11,Faceoff,Ryan O'Reilly faceoff won against Brad Marchand,St. Louis Blues,-22.0,69.0
12,Hit,Patrice Bergeron hit Brayden Schenn,Boston Bruins,-35.0,16.0
13,Missed Shot,Joel Edmundson - Wide of Net,St. Louis Blues,-26.0,-41.0
14,Hit,David Perron hit Brandon Carlo,St. Louis Blues,-35.0,-89.0
15,Hit,Sammy Blais hit Torey Krug,St. Louis Blues,37.0,-78.0
16,Hit,David Perron hit Brandon Carlo,St. Louis Blues,-37.0,5.0
17,Missed Shot,Jake DeBrusk - Wide of Net,Boston Bruins,1.0,75.0
18,Blocked Shot,Jake DeBrusk,Boston Bruins,32.0,-36.0
19,Shot,Colton Parayko Slap Shot saved by Tuukka Rask,St. Louis Blues,27.0,-38.0
20,Missed Shot,Alex Pietrangelo - Wide of Net,St. Louis Blues,37.0,-32.0
21,Penalty,Sean Kuraly Tripping against Brayden Schenn,Boston Bruins,30.0,-49.0
22,Faceoff,Ryan O'Reilly faceoff won against Patrice Bergeron,St. Louis Blues,-22.0,-69.0
23,Shot,Tyler Bozak Wrist Shot saved by Tuukka Rask,St. Louis Blues,18.0,-71.0
24,Shot,Noel Acciari Wrist Shot saved by Jordan Binnington,Boston Bruins,-18.0,58.0
25,Giveaway,Giveaway by David Perron,St. Louis Blues,29.0,-58.0
26,Takeaway,Takeaway by Alex Pietrangelo,St. Louis Blues,22.0,-46.0
27,Hit,David Perron hit Patrice Bergeron,St. Louis Blues,37.0,-67.0
28,Hit,Zdeno Chara hit Oskar Sundqvist,Boston Bruins,36.0,-91.0
29,Hit,Brandon Carlo hit Oskar Sundqvist,Boston Bruins,36.0,-82.0
30,Blocked Shot,Torey Krug,Boston Bruins,-7.0,-65.0
31,Shot,David Pastrnak Slap Shot saved by Jordan Binnington,Boston Bruins,23.0,45.0
33,Faceoff,Patrice Bergeron faceoff won against Brayden Schenn,Boston Bruins,22.0,69.0
34,Hit,Charlie McAvoy hit Jaden Schwartz,Boston Bruins,-30.0,-70.0
35,Giveaway,Giveaway by Patrice Bergeron,Boston Bruins,36.0,-79.0
36,Shot,Brayden Schenn Snap Shot saved by Tuukka Rask,St. Louis Blues,24.0,-42.0
37,Goal,"Brayden Schenn (3) Wrist Shot, assists: Jaden Schwartz (5), Jay Bouwmeester (6)",St. Louis Blues,-5.0,-61.0
38,Faceoff,David Krejci faceoff won against Tyler Bozak,Boston Bruins,0.0,0.0
39,Shot,Brandon Carlo Snap Shot saved by Jordan Binnington,Boston Bruins,-26.0,42.0
40,Hit,David Backes hit Carl Gunnarsson,Boston Bruins,-20.0,93.0
42,Faceoff,Ryan O'Reilly faceoff won against Charlie Coyle,St. Louis Blues,22.0,-20.0
43,Hit,Sammy Blais hit Brandon Carlo,St. Louis Blues,-25.0,-95.0
44,Hit,Brandon Carlo hit Robert Bortuzzo,Boston Bruins,-35.0,-32.0
