,Event,Description,Lat,Lon
3,Faceoff,Dylan Larkin faceoff won against Gabriel Landeskog,0.0,0.0
4,Giveaway,Giveaway by Dylan Larkin,-37.0,-73.0
5,Hit,Alex Biega hit Gabriel Landeskog,38.0,38.0
6,Giveaway,Giveaway by Patrik Nemeth,36.0,61.0
7,Shot,Anthony Mantha Backhand saved by Michael Hutchinson,15.0,-75.0
9,Faceoff,J.T. Compher faceoff won against Sam Gagner,22.0,-69.0
10,Shot,Ian Cole Wrist Shot saved by Jonathan Bernier,21.0,34.0
11,Shot,Tyson Jost Wrist Shot saved by Jonathan Bernier,0.0,49.0
13,Faceoff,Tyson Jost faceoff won against Luke Glendening,-22.0,69.0
14,Shot,Valeri Nichushkin Wrist Shot saved by Jonathan Bernier,-31.0,55.0
16,Faceoff,Tyson Jost faceoff won against Luke Glendening,-22.0,69.0
17,Penalty,Gustav Lindstrom Interference against Tyson Jost,-26.0,85.0
18,Faceoff,Dylan Larkin faceoff won against J.T. Compher,-22.0,69.0
19,Hit,Alex Biega hit J.T. Compher,40.0,71.0
20,Missed Shot,Vladislav Namestnikov Goalpost,20.0,81.0
21,Giveaway,Giveaway by Valtteri Filppula,27.0,64.0
22,Blocked Shot,Erik Johnson shot blocked shot by Justin Abdelkader,-16.0,58.0
23,Shot,Ryan Graves Wrist Shot saved by Jonathan Bernier,21.0,-78.0
25,Faceoff,Pierre-Edouard Bellemare faceoff won against Dylan Larkin,22.0,69.0
26,Shot,Ian Cole Slap Shot saved by Jonathan Bernier,-7.0,36.0
28,Faceoff,Luke Glendening faceoff won against Pierre-Edouard Bellemare,22.0,69.0
29,Giveaway,Giveaway by Dennis Cholowski,-14.0,76.0
30,Blocked Shot,Alex Biega shot blocked shot by Logan O'Connor,9.0,-77.0
31,Blocked Shot,Alex Biega shot blocked shot by Ryan Graves,12.0,-59.0
32,Shot,Dylan Larkin Wrist Shot saved by Michael Hutchinson,1.0,-55.0
33,Goal,"Anthony Mantha (15) Wrist Shot, assists: Dylan Larkin (31), Alex Biega (3)",1.0,-74.0
34,Faceoff,Frans Nielsen faceoff won against Gabriel Landeskog,0.0,0.0
35,Hit,Gabriel Landeskog hit Luke Glendening,-13.0,-99.0
37,Faceoff,Frans Nielsen faceoff won against Joonas Donskoi,-22.0,69.0
39,Faceoff,J.T. Compher faceoff won against Frans Nielsen,-22.0,69.0
40,Blocked Shot,Matt Nieto shot blocked shot by Alex Biega,-16.0,55.0
41,Missed Shot,Erik Johnson Wide of Net,-28.0,56.0
42,Takeaway,Takeaway by Martin Kaut,38.0,-17.0
43,Blocked Shot,Ryan Graves shot blocked shot by Sam Gagner,-16.0,58.0
44,Giveaway,Giveaway by Gabriel Landeskog,28.0,30.0
45,Blocked Shot,Dmytro Timashov shot blocked shot by Gabriel Landeskog,5.0,-46.0
46,Hit,Frans Nielsen hit Vladislav Namestnikov,-14.0,-97.0
47,Hit,Alex Biega hit Ian Cole,39.0,21.0
48,Missed Shot,Nathan MacKinnon Wide of Net,-12.0,68.0
49,Shot,Filip Hronek Slap Shot saved by Michael Hutchinson,9.0,-36.0
